id,retweet_count,favorite_count
842846295480000512,3438,14679
842765311967449089,1203,6467
842535590457499648,3308,17419
842163532590374912,5479,23458
842115215311396866,2860,13430
841833993020538882,14146,0
841680585030541313,7415,24781
841439858740625411,3449,12117
841320156043304961,5213,19042
841314665196081154,4389,15227
841077006473256960,5037,21989
840761248237133825,1665,0
840728873075638272,15157,0
840698636975636481,2,170
840696689258311684,916,11827
840632337062862849,1665,8672
840370681858686976,4315,15816
840268004936019968,5430,18507
839990271299457024,2147,12931
839549326359670784,7361,26382
839290600511926273,137,0
839239871831150596,6169,26059
838952994649550848,3809,18942
838921590096166913,1939,10738
838916489579200512,32,0
838831947270979586,10448,0
838561493054533637,1266,10573
838476387338051585,4515,21648
838201503651401729,9546,0
838150277551247360,315,1599
838085839343206401,1,135
838083903487373313,2951,17011
837820167694528512,7450,32845
837482249356513284,423,3734
837471256429613056,2143,12357
837110210464448512,2252,15506
836989968035819520,2191,12324
836753516572119041,4412,18690
836677758902222849,2111,12199
836648853927522308,526,0
836397794269200385,26150,0
836380477523124226,2849,14301
836260088725786625,4115,20606
836001077879255040,4063,18443
835685285446955009,7747,0
835574547218894849,3438,17201
835536468978302976,1607,0
835309094223372289,19928,0
835297930240217089,2845,15932
835264098648616962,1607,7464
835246439529840640,68,2031
835172783151792128,5489,25302
835152434251116546,2857,21639
834931633769889797,1543,10430
834786237630337024,5278,20773
834574053763584002,2397,13203
834477809192075265,10140,0
834458053273591808,1598,9304
834209720923721728,4519,19877
834167344700198914,3500,15308
834089966724603904,2040,9712
834086379323871233,2106,12634
833863086058651648,2296,13016
833826103416520705,3594,17571
833732339549220864,211,0
833722901757046785,3100,20235
833479644947025920,1948,14417
833124694597443584,4632,19590
832998151111966721,2101,12838
832769181346996225,38,0
832757312314028032,3459,16350
832682457690300417,2787,11508
832645525019123713,510,2833
832636094638288896,2664,15390
832397543355072512,2115,11597
832369877331693569,3047,16632
832273440279240704,2235,10998
832215909146226688,5952,0
832215726631055365,8921,0
832088576586297345,2,61
832040443403784192,9163,0
832032802820481025,4461,17294
831939777352105988,5865,23239
831926988323639298,34,325
831911600680497154,6222,26678
831670449226514432,1741,10112
831650051525054464,1851,6904
831552930092285952,2240,8709
831322785565769729,1489,9009
831315979191906304,1069,6334
831309418084069378,2359,11426
831262627380748289,1964,11524
830956169170665475,1427,7735
830583320585068544,15997,64611
830173239259324417,5435,0
830097400375152640,2808,9458
829878982036299777,4793,0
829861396166877184,1858,11907
829501995190984704,10140,30785
829449946868879360,1930,10159
829141528400556032,7029,23631
829011960981237760,15701,51767
828801551087042563,3276,0
828770345708580865,5614,24830
828708714936930305,10740,35411
828650029636317184,1287,9236
828409743546925057,1114,6179
828408677031882754,1236,7469
828381636999917570,2139,12243
828376505180889089,1028,7182
828372645993398273,2811,12225
828361771580813312,170,2118
828046555563323392,2754,11411
828011680017821696,2074,10068
827933404142436356,5035,19469
827653905312006145,2907,15061
827600520311402496,901,7270
827324948884643840,2908,15384
827199976799354881,2132,10287
826958653328592898,4793,20952
826848821049180160,9729,35137
826615380357632002,3823,0
826598799820865537,239,4990
826598365270007810,2258,9731
826476773533745153,4032,17895
826240494070030336,2511,12908
826204788643753985,881,4743
826115272272650244,2983,15210
825876512159186944,1791,10195
825829644528148480,2413,12398
825535076884762624,16944,55524
825147591692263424,4360,17790
825120256414846976,1200,0
825026590719483904,1200,6091
824796380199809024,5303,0
824775126675836928,3371,14519
824663926340194305,1701,10242
824325613288833024,10217,11504
824297048279236611,3706,14650
824025158776213504,579,4703
823939628516474880,2620,10360
823719002937630720,10750,0
823699002998870016,2430,13596
823581115634085888,2524,12672
823333489516937216,22,688
823322678127919110,3863,15303
823269594223824897,9537,0
822975315408461824,3322,16883
822872901745569793,41541,127968
822859134160621569,2186,12874
822647212903690241,6161,0
822610361945911296,2831,14413
822489057087389700,6161,17666
822462944365645825,13723,27160
822244816520155136,9537,34071
822163064745328640,4568,0
821886076407029760,2229,11014
821813639212650496,3241,0
821765923262631936,1608,8177
821522889702862852,1686,7825
821421320206483457,5357,0
821407182352777218,4159,11428
821153421864615936,10,243
821149554670182400,1885,8380
821107785811234820,2056,9345
821044531881721856,2199,12348
820837357901512704,6470,0
820749716845686786,9546,30779
820690176645140481,3115,11945
820494788566847489,542,0
820446719150292993,2474,0
820314633777061888,542,3265
820078625395449857,6054,19286
820013781606658049,1130,0
819952236453363712,1130,5184
819924195358416896,4707,12616
819711362133872643,2996,13033
819588359383371776,1932,9423
819347104292290561,1168,7044
819238181065359361,395,2195
819227688460238848,6470,22478
819015337530290176,35809,0
819015331746349057,18420,0
819006400881917954,18420,44287
819004803107983360,35809,85162
818646164899774465,20219,0
818627210458333184,7313,21871
818614493328580609,2440,9588
818588835076603904,5906,0
818536468981415936,2363,10588
818307523543449600,7775,0
818259473185828864,2173,10727
818145370475810820,2467,11981
817908911860748288,764,4739
817827839487737858,26150,50240
817777686764523521,2597,10511
817536400337801217,2837,11492
817502432452313088,3276,0
817423860136083457,14146,32923
817415592588222464,920,5464
817181837579653120,8166,0
817171292965273600,1957,8564
817120970343411712,2513,11914
817056546584727552,1585,8389
816829038950027264,4548,0
816816676327063552,1958,9763
816697700272001025,2121,9544
816450570814898180,7775,29631
816336735214911488,1879,8401
